Id,NODE_NAME,latitude,longitude,average population,final_average_population
4060029000,서홍동1481-1,33.2546781470705,126.512734734648,76.550725,38.2753625
4060187801,디아넥스,33.3024873661656,126.393318242941,66.243386,66.243386
4060014200,대기정,33.2404562739723,126.427824763833,130.484211,130.484211
4050113000,함덕리828-3,33.5294259271958,126.667921008318,124.565217,124.565217
4050113700,북촌리187-2,33.5433495414616,126.702717929053,124.565217,124.565217
4050113900,북촌리2688,33.5500237666183,126.693206207319,124.565217,124.565217
4060000800,대천동사무소,33.2511516704185,126.478039080718,106.023256,53.011628
4060003403,나나다육이,33.259624267661,126.595401810657,0.0,0.0
4060004001,신효동893-1,33.2611697419915,126.612293095372,114.782609,114.782609
4060004201,세훈빌리지,33.258049186505,126.428245623643,130.484211,130.484211
4060073300,하원동1877,33.263421015703,126.467102315343,106.023256,106.023256
4060073400,도순동1368,33.2561718396282,126.474326735403,106.023256,53.011628
4060073900,법환동1654,33.2366074758841,126.514023434851,342.466667,171.2333335
4060074300,강정동4384-3,33.2362573635155,126.475651731667,106.023256,106.023256
4060076200,엠스테이제주호텔,33.2468565391276,126.561106833762,164.81247925,164.81247925
4050000503,노형동산17-3,33.41828117736,126.489959245415,246.235556,246.235556
4050000600,교래입구교차로,33.4191031477377,126.616698292577,91.0,91.0
4050129700,청수리159-4,33.3048245714679,126.258499828867,91.4,91.4
4050130300,창성세차장,33.4094155336075,126.259139099184,10.814433,10.814433
4050164300,미수2교서측,33.4836605799511,126.405096018178,124.427632,124.427632
4050179900,우리주유소,33.5438313601073,126.657983992671,124.565217,124.565217
4060010602,제4산록교,33.290116064099,126.489005717124,106.023256,106.023256
4060011000,돈내코교,33.2991276471127,126.589388573654,0.0,0.0
4060014800,대포마을복지회관앞,33.2427639041449,126.431745217955,130.484211,130.484211
4060015200,유림갈비,33.2429184346351,126.565117399004,164.81247925,164.81247925
4060016001,서홍동648-13,33.2437871765954,126.555908210333,76.550725,76.550725
4060091500,무릉2리입구교차로,33.2859894284409,126.224782761689,98.669643,98.669643
4060144400,남원리91-10,33.2780249215024,126.718554745507,55.364458,55.364458
4060167800,표선리2954,33.3265896990452,126.836211758146,71.965714,71.965714
4060171300,삼달보건진료소,33.3744947544052,126.846912049088,79.21875,79.21875
4060173200,난산리1505-5,33.404979815199,126.865360234943,79.21875,79.21875
4060173900,수산2리입구교차로,33.4386538983637,126.87315632412,79.21875,79.21875
4050037500,방천1교,33.4892652727454,126.55116707335,497.72449,497.72449
4050001102,연동산100-1,33.4352071786416,126.489726262067,402.150943,402.150943
4050001800,아라동산53-1,33.4300106477926,126.558542479899,459.045977,459.045977
4050002203,영평동2273,33.4443936741056,126.572116138726,0.0,0.0
4050006705,봉개교차로,33.4890092625546,126.598256456474,91.0,91.0
4050008200,제주미주호텔,33.4918853978107,126.496702105062,402.150943,100.53773575
4050008900,반딧불이작은도서관,33.4937011160924,126.494754010818,402.150943,100.53773575
4050013500,CU제주시민점,33.5078116790666,126.524349667978,307.88,76.97
4050013900,국립박물관앞교차로,33.5115786476852,126.547563729266,220.125,73.375
4050014100,국립제주박물관,33.5119834609252,126.548651855327,220.125,73.375
4050016900,속성변화점,33.4486491471604,126.62363494921,91.0,91.0
4050018901,연동1546,33.4763209514756,126.488711629592,402.150943,134.05031433333332
4050019600,제주복음교회,33.4776488351173,126.48082954318,246.235556,123.117778
4050020000,제주감귤농협노연로지점,33.478378678419,126.490646291803,402.150943,134.05031433333332
4050021600,연화사,33.4803127416313,126.508641885945,266.083333,66.52083325
4050022400,노형아이파크아파트,33.4811907722836,126.48477098052,246.235556,82.07851866666667
4050023503,이호동1025-4,33.4906740110036,126.457698395684,192.565217,192.565217
4050023800,흘천4교,33.4819653033722,126.487236855486,246.235556,82.07851866666667
4050027000,제주여자중학교,33.4835290225585,126.539088667416,459.045977,229.5229885
4050032800,미스터힐링,33.4863609917747,126.47810851128,246.235556,82.07851866666667
4050033000,GS25외도대박점,33.4864609602291,126.426758542412,410.290909,410.290909
4050034200,은솔어린이집,33.4875594292995,126.501607698955,266.083333,66.52083325
4050038200,연동아파트,33.4895496791892,126.482220574069,402.150943,134.05031433333332
4050038700,KT신제주지사,33.4896298662231,126.499958417162,402.150943,100.53773575
4050038800,제주특별자치도도청,33.4897213356731,126.497371948706,402.150943,100.53773575
4050039200,하워드존슨제주호텔,33.4898825230441,126.492075605856,402.150943,100.53773575
4050040600,제주디엠,33.4906730544247,126.501703105446,266.083333,88.69444433333332
4050040900,제주특별자치도교육청,33.4907760543112,126.497408199335,402.150943,100.53773575
4050041600,새안교회,33.49118333574,126.476870229872,246.235556,82.07851866666667
4050043400,제주이도한일베라체아파트,33.4922469920082,126.547462698823,497.72449,497.72449
4050044404,도련일동2868,33.5064014132474,126.591350922778,0.0,0.0
4050044600,내도교,33.4929132724168,126.440253636307,410.290909,205.1454545
4050044700,캐딜락제주전시장,33.4930311469564,126.508187667745,266.083333,66.52083325
4050045800,산지4교,33.4949028352869,126.540972479543,497.72449,497.72449
4050046500,SK충전소개인택시조합,33.4956872420458,126.468183761337,192.565217,192.565217
4050047200,이호교,33.4961752726141,126.455276230658,192.565217,192.565217
4050050300,CU제주삼주점,33.4989338353202,126.53394185529,497.72449,165.9081633333333
4050051200,대유맨션,33.5001054294695,126.536412354669,497.72449,165.9081633333333
4050051301,이호동375-41,33.5013130607609,126.455373280407,192.565217,192.565217
4050053800,해변콘서트,33.503707491053,126.465871480741,87.918919,87.918919
4050055500,KT제주지사,33.5045045858066,126.525457167297,402.736842,100.6842105
