순번,생성일,생성시분,링크ID,도로관리기관,통행속도,Unnamed: 0_x,Source_x,Target_x,LANES_x,ROAD_RANK_x,ROAD_NO_x,ROAD_NAME_x,ROAD_USE_x,MULTI_LINK_x,CONNECT_x,MAX_SPD_x,REST_VEH_x,REST_W_x,REST_H_x,C-ITS_x,LENGTH_x,UPDATEDATE_x,시간
657652,20231106,0,4060246000,10078901.0,26.0,69257,4060080000,4060005200,1,107,-,효돈순환로,0,0,0,40,0,0,0,0,502.9394908,20230519,1.160629594153846
657654,20231106,0,4060246100,10078901.0,34.7,190403,4060005200,4060080000,1,107,-,효돈순환로,0,0,0,40,0,0,0,0,513.6541522,20230519,0.8881627991930835
657655,20231106,0,4060246200,10078901.0,34.0,136833,4060080000,4060005203,1,107,-,하신상로68번길,0,0,0,40,0,0,0,0,405.107065,20230519,0.7148948205882353
657656,20231106,0,4060246300,10078901.0,30.0,194019,4060005203,4060080000,1,107,-,하신상로68번길,0,0,0,40,0,0,0,0,405.2400817,20230519,0.8104801634
657657,20231106,0,4060246400,10078901.0,18.0,331616,4060080300,4060060402,1,107,-,-,0,0,0,30,0,0,0,0,80.95162559,20230519,0.2698387519666667
657659,20231106,0,4060246500,10078901.0,23.0,413457,4060060402,4060080300,1,107,-,-,0,0,0,30,0,0,0,0,83.58294379,20230519,0.21804246206086958
4067076,20231106,25,4060246600,10078901.0,35.0,106728,4060080300,4060060401,1,107,-,-,0,0,0,30,0,0,0,0,221.9556364,20230519,0.3804953766857143
12249684,20231106,145,4060246700,10078901.0,29.5,34984,4060060401,4060080300,1,107,-,-,0,0,0,30,0,0,0,0,222.4535656,20230519,0.45244793003389827
657663,20231106,0,4060246800,10078901.0,17.0,342768,4060080500,4060060002,1,107,-,동홍로,0,0,0,30,0,0,0,0,65.34181019,20230519,0.23061815361176471
657665,20231106,0,4060246900,10078901.0,26.0,519315,4060060002,4060080500,1,107,-,동홍로,0,0,0,30,0,0,0,0,71.5931777,20230519,0.16521502546153843
17704768,20231106,245,4060247000,10078901.0,34.0,498758,4060081200,4060016301,1,107,-,보목포로91번길,0,0,0,40,0,0,0,0,507.2296483,20230519,0.8951111440588235
17704769,20231106,245,4060247100,10078901.0,40.5,441486,4060016301,4060081200,1,107,-,보목포로91번길,0,0,0,40,0,0,0,0,489.4563153,20230519,0.7251204671111111
12249690,20231106,145,4060247200,10078901.0,35.5,275926,4060081300,4060015001,1,107,-,보목포로,0,0,0,40,0,0,0,0,373.0632688,20230519,0.6305294683943662
4067084,20231106,25,4060247300,10078901.0,30.0,473042,4060015001,4060081300,1,107,-,보목포로,0,0,0,40,0,0,0,0,373.3848192,20230519,0.7467696384
657670,20231106,0,4060247400,10078901.0,32.0,371780,4060081400,4060018500,1,107,-,보목로64번길,0,0,0,50,0,0,0,0,1876.779853,20230519,3.518962224375
657671,20231106,0,4060247500,10078901.0,34.3,68336,4060018500,4060081400,1,107,-,보목로64번길,0,0,0,50,0,0,0,0,1898.584732,20230519,3.3211394728862977
98852968,20231106,1705,4060247600,10078901.0,32.3,116744,4060144400,4060082500,1,107,-,남원회관로,0,0,0,50,0,0,0,0,305.3986977,20230519,0.5673040824148607
657674,20231106,0,4060247700,10078901.0,27.0,48747,4060082500,4060144400,1,107,-,남원회관로,0,0,0,50,0,0,0,0,304.3977343,20230519,0.6764394095555555
72938685,20231106,1250,4060247800,10078901.0,42.0,473096,4060154400,4060083100,1,107,-,태신해안로,0,0,0,30,0,0,0,0,1819.40694,20230519,2.599152771428572
66801347,20231106,1145,4060247900,10078901.0,42.3,3010,4060083100,4060154400,1,107,-,태신해안로,0,0,0,30,0,0,0,0,1838.658162,20230519,2.6080257617021276
657678,20231106,0,4060248000,10078901.0,42.0,237803,4060084400,4060084300,1,107,-,서성일로27번길,0,0,0,30,0,0,0,0,134.0181735,20230519,0.19145453357142855
657680,20231106,0,4060248100,10078901.0,24.0,493792,4060084300,4060084400,1,107,-,서성일로27번길,0,0,0,30,0,0,0,0,158.2729154,20230519,0.3956822885
71574834,20231106,1235,4060248200,10078901.0,49.0,194328,4060168100,4060084600,1,107,-,하천달산로,0,0,0,50,0,0,0,0,536.7415518,20230519,0.6572345532244899
113857109,20231106,2015,4060248300,10078901.0,45.3,68337,4060084600,4060168100,1,107,-,하천달산로,0,0,0,50,0,0,0,0,529.2483741,20230519,0.70099122397351
4067099,20231106,25,4060248400,10078901.0,40.0,102952,4060172500,4060084900,1,107,-,신천동로,0,0,0,40,0,0,0,0,605.979902,20230519,0.908969853
657685,20231106,0,4060248500,10078901.0,34.0,396550,4060084900,4060172500,1,107,-,신천동로,0,0,0,40,0,0,0,0,606.4736982,20230519,1.0702477027058823
657686,20231106,0,4060248600,10078901.0,49.3,359531,4060174400,4060086100,1,107,-,시흥상동로53번길,0,0,0,50,0,0,0,0,1174.617651,20230519,1.4295549505070995
657687,20231106,0,4060248700,10078901.0,42.0,137509,4060086100,4060174400,1,107,-,시흥상동로53번길,0,0,0,50,0,0,0,0,1171.006669,20230519,1.6728666700000001
657688,20231106,0,4060248800,10078901.0,37.5,67275,4060125700,4060125200,1,107,-,신례천로,0,0,0,50,0,0,0,0,1195.650989,20230519,1.9130415824
4067105,20231106,25,4060248900,10078901.0,36.3,381593,4060125200,4060125700,1,107,-,신례천로,0,0,0,50,0,0,0,0,1204.414579,20230519,1.9907678991735538
657692,20231106,0,4060249000,10078901.0,18.0,188414,4060080600,4060060004,1,107,-,-,0,0,0,30,0,0,0,0,135.1355901,20230519,0.450451967
657693,20231106,0,4060249100,10078901.0,37.0,374927,4060060004,4060080600,1,107,-,-,0,0,0,30,0,0,0,0,129.588447,20230519,0.21014342756756757
657694,20231106,0,4060249200,10078901.0,19.0,242797,4060080700,4060060004,1,107,-,-,0,0,0,30,0,0,0,0,157.3398659,20230519,0.49686273442105267
657695,20231106,0,4060249300,10078901.0,29.0,304164,4060060004,4060080700,1,107,-,-,0,0,0,30,0,0,0,0,159.9047724,20230519,0.330837460137931
657696,20231106,0,4060249400,10078901.0,36.0,62236,4060060101,4060010303,1,107,-,산록남로,0,0,0,30,0,0,0,0,870.1044943,20230519,1.4501741571666669
657697,20231106,0,4060249500,10078901.0,15.0,145942,4060010303,4060060101,1,107,-,산록남로,0,0,0,30,0,0,0,0,863.3518572,20230519,3.4534074288
15659145,20231106,215,4060249600,10078901.0,53.0,285920,4060047701,4060010304,1,107,-,토평공단로106번길,0,0,0,50,0,0,0,0,978.9324733,20230519,1.108225441471698
59982152,20231106,1025,4060249700,10078901.0,57.0,132954,4060010304,4060047701,1,107,-,토평공단로106번길,0,0,0,50,0,0,0,0,964.6259719,20230519,1.0153957598947367
72938709,20231106,1250,4060249800,10078901.0,45.0,303381,4060122700,4060081000,1,107,-,하례학림로,0,0,0,60,0,0,0,0,143.2253954,20230519,0.19096719386666663
657701,20231106,0,4060249900,10078901.0,33.0,479802,4060081000,4060122700,1,107,-,하례학림로,0,0,0,60,0,0,0,0,147.8742942,20230519,0.26886235309090906
657702,20231106,0,4060250000,10078901.0,38.3,101471,4060122600,4060080900,1,107,-,하례학림로,0,0,0,50,0,0,0,0,838.4548654,20230519,1.3135063165535248
657703,20231106,0,4060250100,10078901.0,35.0,126992,4060080900,4060122600,1,107,-,하례학림로,0,0,0,50,0,0,0,0,834.7395276,20230519,1.4309820473142856
